Total score: 100.0
Base score:  40.0
Other than base score:  60.0
43 )0 # , /#! 0 0 PASSED
44  ! 3! %@ 1 4 4 PASSED
45 * 9/# 431+ 17 17 PASSED
46  $& 6  +   6 6 PASSED
47 $&(! 56 ^6 17 17 PASSED
48 0 .14 -0*? 5 5 PASSED
49 lpFqRowybP 240 240 PASSED
50 okJOFDStBR 210 210 PASSED
51 QSnKYDowLf 236 236 PASSED
52 nhDtTfSLgG 207 207 PASSED
53 rXdIdxrdRf 219 219 PASSED
54 xajMDWjWIK 218 218 PASSED
55 YCtutQHCCj 220 220 PASSED
56 MoOtjKEZcs 227 227 PASSED
57 KuVKHceQnv 224 224 PASSED
58 mLsTdPrunu 248 248 PASSED
59 #o/3gM#oHn 129 129 PASSED
60 qlYi c% w  143 143 PASSED
61 &RpS RN h  147 147 PASSED
62 xGt 0ooA h 153 153 PASSED
63 ub   mdCo/ 112 112 PASSED
64 GL!qL!@n C 119 119 PASSED
65 0% x5A V l 100 100 PASSED
66 DYiB7  @QH 126 126 PASSED
67 fwOQ D^l:Y 165 165 PASSED
68 2A/r SS3 N 121 121 PASSED
69 !!!!!!!!!! 0 0 PASSED
70 @@@@@@@@@@ 0 0 PASSED
71 ########## 0 0 PASSED
72 $$$$$$$$$$ 0 0 PASSED
73 %%%%%%%%%% 0 0 PASSED
74 ^^^^^^^^^^ 0 0 PASSED
75 &&&&&&&&&& 0 0 PASSED
76 :::::::::: 0 0 PASSED
77 ;;;;;;;;;; 0 0 PASSED
78 .......... 0 0 PASSED
79 ,,,,,,,,,, 0 0 PASSED
80 ////////// 0 0 PASSED
81 (((((((((( 0 0 PASSED
82 )))))))))) 0 0 PASSED
83 ?????????? 0 0 PASSED
84 ---------- 0 0 PASSED
85 ++++++++++ 0 0 PASSED
86 ********** 0 0 PASSED
87            0 0 PASSED
88 64VTt71xp9 174 174 PASSED
89 2ea3977xdL 119 119 PASSED
90 v4H56ms0Z2 150 150 PASSED
91 h6F69bU50K 119 119 PASSED
92 rh8I4t3r22 137 137 PASSED
93 073iZS93rx 163 163 PASSED
94 8jrV487fy4 157 157 PASSED
95 2dr7YI92I9 139 139 PASSED
96 k4L4z3r2D3 132 132 PASSED
97 I3J1NH15W4 123 123 PASSED
98 ,    -   ) 0 0 PASSED
99  *&  & ^!% 0 0 PASSED
100 :  - ( @   0 0 PASSED
101 )^  , ,$?& 0 0 PASSED
102 % + )    ; 0 0 PASSED
103 # ,@#,* &. 0 0 PASSED
104  .  /  --( 0 0 PASSED
105 /./ #  ?(  0 0 PASSED
106   ):.  ^.  0 0 PASSED
107 $ $ &-. */ 0 0 PASSED
108 00000///// 0 0 PASSED
109 /////00000 0 0 PASSED
110 99999::::: 45 45 PASSED
111 :::::99999 45 45 PASSED
112 @@@@@AAAAA 50 50 PASSED
113 AAAAA@@@@@ 50 50 PASSED
114 ZZZZZZZZZZ 350 350 PASSED
115 ZZZZZZZZZZ 350 350 PASSED
116 zzzzzzzzzz 350 350 PASSED
117 zzzzzzzzzz 350 350 PASSED
118 000000000/ 0 0 PASSED
119 /000000000 0 0 PASSED
120 999999999: 81 81 PASSED
121 :999999999 81 81 PASSED
122 @AAAAAAAAA 90 90 PASSED
123 `````````a 10 10 PASSED
124 aaaaaaaaa` 90 90 PASSED
125 1234 56789 45 45 PASSED
126 abcd efghi 126 126 PASSED
127 ABCD EFGHI 126 126 PASSED
128 1234~56789 45 45 PASSED
129 abcd~efghi 126 126 PASSED
130 ABCD~efghi 126 126 PASSED
131 1!2"3#4$5% 15 15 PASSED
132 a:b<c>e-f+ 62 62 PASSED
133 A(B)C_D=E[ 60 60 PASSED
